transaction_branch_id;branch_id;transactional_date;product_id;customer_id;payment;credit_card;loyalty_card;cost;quantity;price
1;1;01/01/2025 9:00;C003;1841;visa;9,88E+15;F;2.5;4;16.0
2;1;01/01/2025 9:00;C005;1424;visa;4,48E+15;F;1.8;3;9.0
3;1;01/01/2025 9:01;P003;2985;americanexpress;8,24E+15;F;3.0;2;9.0
4;1;01/01/2025 9:02;P010;3151;americanexpress;4,50E+15;F;4.5;3;21.0
5;1;01/01/2025 9:03;P005;2184;visa;9,88E+15;F;3.5;1;5.0
6;1;01/01/2025 9:06;C002;2265;cash;;T;2.0;2;7.0
7;1;01/01/2025 9:08;P006;921;visa;9,71E+15;T;3.2;5;24.0
8;1;01/01/2025 9:08;P007;509;mastercard;8,76E+15;F;2.0;2;7.0
9;1;01/01/2025 9:12;C005;2391;cash;;F;1.8;1;3.0
10;1;01/01/2025 9:13;C001;657;cash;;F;1.5;2;5.0
11;1;01/01/2025 9:13;P008;3508;cash;;T;3.5;2;11.0
12;1;01/01/2025 9:17;P009;283;cash;;T;3.8;4;24.0
13;1;01/01/2025 9:19;C007;4324;mastercard;4,61E+15;F;2.0;3;10.5
14;1;01/01/2025 9:24;C010;3810;visa;6,59E+15;F;2.5;4;16.0
15;1;01/01/2025 9:25;C005;689;mastercard;3,07E+15;F;1.8;5;15.0
16;1;01/01/2025 9:29;C008;2214;mastercard;7,82E+15;F;2.2;1;3.8
17;1;01/01/2025 9:30;C010;1284;mastercard;5,09E+15;T;2.5;2;8.0
18;1;01/01/2025 9:33;C002;2066;visa;9,77E+15;F;2.0;3;10.5
19;1;01/01/2025 9:33;P002;1834;mastercard;7,06E+15;T;2.5;5;20.0
20;1;01/01/2025 9:39;C010;4752;americanexpress;8,34E+15;F;2.5;5;20.0
21;1;01/01/2025 9:43;C009;2398;cash;;F;1.0;5;10.0
22;1;01/01/2025 9:44;C003;1787;visa;5,75E+15;F;2.5;4;16.0
23;1;01/01/2025 9:46;P007;1749;visa;6,66E+15;F;2.0;1;3.5
24;1;01/01/2025 9:48;P003;4182;visa;7,12E+15;F;3.0;3;13.5
25;1;01/01/2025 9:51;C010;4476;americanexpress;8,96E+15;F;2.5;5;20.0
26;1;01/01/2025 9:51;P001;3986;mastercard;9,69E+15;F;2.0;5;17.5
27;1;01/01/2025 9:52;C005;1779;cash;;F;1.8;2;6.0
28;1;01/01/2025 9:54;C002;2016;visa;5,70E+15;F;2.0;5;17.5
29;1;01/01/2025 9:57;P004;1714;visa;4,11E+15;F;2.8;5;21.0
30;1;01/01/2025 9:59;P002;3511;mastercard;2,00E+15;T;2.5;1;4.0
31;1;01/01/2025 10:03;P001;3064;mastercard;1,09E+15;T;2.0;2;7.0
32;1;01/01/2025 10:07;P004;4153;visa;8,43E+15;F;2.8;4;16.8
33;1;01/01/2025 10:09;C006;2214;mastercard;7,82E+15;F;1.8;5;15.0
