transaction_branch_id;branch_id;transactional_date;product_id;customer_id;payment;credit_card;loyalty_card;cost;quantity;price
1;2;01/01/2025 9:02;P004;2380;mastercard;3,77E+15;F;2.8;3;12.6
2;2;01/01/2025 9:02;P003;8;cash;;T;3.0;3;13.5
3;2;01/01/2025 9:06;P004;1958;cash;;F;2.8;4;16.8
4;2;01/01/2025 9:11;P008;787;visa;6,98E+15;F;3.5;3;16.5
5;2;01/01/2025 9:12;C008;2120;mastercard;5,58E+15;F;2.2;2;7.6
6;2;01/01/2025 9:15;C001;2168;americanexpress;8,50E+15;F;1.5;4;10.0
7;2;01/01/2025 9:18;P006;122;cash;;T;3.2;4;19.2
8;2;01/01/2025 9:32;P009;2715;visa;7,52E+15;T;3.8;1;6.0
9;2;01/01/2025 9:38;P007;3162;visa;1,87E+15;F;2.0;4;14.0
10;2;01/01/2025 9:39;C008;3204;cash;;F;2.2;4;15.2
11;2;01/01/2025 9:49;C005;492;mastercard;6,84E+15;F;1.8;4;12.0
12;2;01/01/2025 9:50;C010;1379;mastercard;5,71E+15;F;2.5;3;12.0
13;2;01/01/2025 9:52;C009;868;visa;9,13E+15;T;1.0;1;2.0
14;2;01/01/2025 9:53;C003;1294;mastercard;8,51E+15;T;2.5;3;12.0
15;2;01/01/2025 9:53;P009;2552;americanexpress;6,32E+15;F;3.8;4;24.0
16;2;01/01/2025 9:56;P001;2422;cash;;T;2.0;2;7.0
17;2;01/01/2025 9:58;C007;2498;cash;;F;2.0;1;3.5
18;2;01/01/2025 9:58;C008;1742;mastercard;4,23E+15;F;2.2;2;7.6
19;2;01/01/2025 9:59;P002;1235;americanexpress;8,67E+15;F;2.5;1;4.0
20;2;01/01/2025 10:01;P009;530;mastercard;8,74E+15;F;3.8;1;6.0
21;2;01/01/2025 10:03;C005;2826;americanexpress;6,23E+15;F;1.8;5;15.0
22;2;01/01/2025 10:03;C003;1677;cash;;F;2.5;2;8.0
23;2;01/01/2025 10:09;C002;128;cash;;T;2.0;1;3.5
24;2;01/01/2025 10:14;P009;707;cash;;F;3.8;5;30.0
25;2;01/01/2025 10:15;P005;3184;visa;9,71E+15;F;3.5;5;25.0
26;2;01/01/2025 10:17;C009;3061;americanexpress;9,87E+15;F;1.0;2;4.0
27;2;01/01/2025 10:18;C009;460;visa;8,51E+15;T;1.0;3;6.0
28;2;01/01/2025 10:21;C004;2487;americanexpress;6,51E+15;T;3.0;5;22.5
29;2;01/01/2025 10:36;C009;1100;mastercard;4,06E+15;F;1.0;5;10.0
30;2;01/01/2025 10:40;C008;329;cash;;T;2.2;1;3.8
31;2;01/01/2025 10:41;C002;857;mastercard;3,81E+15;F;2.0;1;3.5
32;2;01/01/2025 10:44;P010;306;americanexpress;6,01E+15;F;4.5;3;21.0
33;2;01/01/2025 10:58;C005;714;americanexpress;3,79E+15;F;1.8;1;3.0
34;2;01/01/2025 10:58;P009;343;mastercard;2,37E+15;F;3.8;1;6.0
35;2;01/01/2025 10:59;C007;286;visa;5,13E+15;T;2.0;2;7.0
36;2;01/01/2025 11:05;P003;14;americanexpress;6,78E+15;T;3.0;1;4.5
37;2;01/01/2025 11:16;C006;112;mastercard;6,24E+15;T;1.8;2;6.0
38;2;01/01/2025 11:17;P004;355;mastercard;7,24E+15;T;2.8;1;4.2
39;2;01/01/2025 11:23;P001;2276;cash;;F;2.0;5;17.5
