transaction_branch_id;branch_id;transactional_date;product_id;customer_id;payment;credit_card;loyalty_card;cost;quantity;price
1;3;01/01/2025 9:01;C003;1026;cash;;F;2.5;1;4.0
2;3;01/01/2025 9:02;C001;163;americanexpress;6,75E+15;F;1.5;1;2.5
3;3;01/01/2025 9:04;C009;4459;visa;5,00E+15;F;1.0;3;6.0
4;3;01/01/2025 9:06;P002;4325;mastercard;5,32E+15;F;2.5;2;8.0
5;3;01/01/2025 9:07;C008;83;cash;;F;2.2;5;19.0
6;3;01/01/2025 9:08;C001;1276;cash;;F;1.5;5;12.5
7;3;01/01/2025 9:09;P006;667;cash;;F;3.2;2;9.6
8;3;01/01/2025 9:14;C004;1251;mastercard;2,55E+15;F;3.0;3;13.5
9;3;01/01/2025 9:17;C002;979;mastercard;1,12E+15;T;2.0;4;14.0
10;3;01/01/2025 9:19;C005;37;visa;3,58E+15;F;1.8;5;15.0
11;3;01/01/2025 9:22;P008;387;mastercard;7,15E+15;F;3.5;4;22.0
12;3;01/01/2025 9:25;P008;677;mastercard;4,09E+15;F;3.5;3;16.5
13;3;01/01/2025 9:34;C005;4902;cash;;F;1.8;3;9.0
14;3;01/01/2025 9:34;P007;5344;mastercard;5,70E+15;F;2.0;5;17.5
15;3;01/01/2025 9:46;P005;1760;mastercard;8,31E+15;F;3.5;1;5.0
16;3;01/01/2025 9:46;P002;4961;cash;;F;2.5;1;4.0
17;3;01/01/2025 9:46;C004;318;visa;2,20E+15;F;3.0;3;13.5
18;3;01/01/2025 9:50;C003;5045;visa;3,07E+15;F;2.5;5;20.0
19;3;01/01/2025 9:51;P004;2096;visa;9,24E+15;T;2.8;4;16.8
20;3;01/01/2025 9:52;P003;3801;visa;7,62E+15;T;3.0;4;18.0
21;3;01/01/2025 9:57;P008;275;americanexpress;3,27E+15;F;3.5;4;22.0
22;3;01/01/2025 10:00;C001;841;mastercard;1,91E+15;F;1.5;4;10.0
23;3;01/01/2025 10:00;C009;5385;mastercard;5,45E+15;F;1.0;5;10.0
24;3;01/01/2025 10:06;C006;4779;visa;2,79E+15;F;1.8;4;12.0
25;3;01/01/2025 10:07;C004;2456;cash;;F;3.0;3;13.5
26;3;01/01/2025 10:08;C005;2464;americanexpress;5,23E+15;F;1.8;1;3.0
27;3;01/01/2025 10:12;P001;5413;visa;4,66E+15;F;2.0;3;10.5
28;3;01/01/2025 10:13;P009;1946;mastercard;7,39E+15;F;3.8;2;12.0
29;3;01/01/2025 10:14;P006;1052;mastercard;5,67E+15;T;3.2;2;9.6
30;3;01/01/2025 10:16;P009;2277;cash;;F;3.8;4;24.0
31;3;01/01/2025 10:19;C004;3152;americanexpress;3,97E+15;F;3.0;4;18.0
32;3;01/01/2025 10:20;C009;1764;mastercard;9,76E+15;F;1.0;2;4.0
33;3;01/01/2025 10:23;C008;3192;americanexpress;7,16E+15;F;2.2;4;15.2
34;3;01/01/2025 10:23;C006;2831;visa;5,30E+15;F;1.8;3;9.0
35;3;01/01/2025 10:25;P003;3046;mastercard;4,81E+15;F;3.0;3;13.5
36;3;01/01/2025 10:29;P008;872;cash;;F;3.5;5;27.5
37;3;01/01/2025 10:29;P006;5401;visa;9,83E+15;F;3.2;3;14.4
38;3;01/01/2025 10:29;P003;5103;mastercard;9,71E+15;F;3.0;1;4.5
39;3;01/01/2025 10:34;P007;2155;americanexpress;8,94E+15;F;2.0;4;14.0
40;3;01/01/2025 10:35;C002;3161;cash;;F;2.0;3;10.5
41;3;01/01/2025 10:48;P006;4203;cash;;T;3.2;4;19.2
42;3;01/01/2025 10:52;P003;1246;americanexpress;9,85E+15;F;3.0;1;4.5
43;3;01/01/2025 10:53;C001;2803;mastercard;7,21E+15;F;1.5;4;10.0
44;3;01/01/2025 10:58;C006;3361;mastercard;8,06E+15;T;1.8;3;9.0
45;3;01/01/2025 10:58;P004;2345;visa;6,35E+15;T;2.8;5;21.0
46;3;01/01/2025 11:00;P004;5266;visa;8,00E+15;F;2.8;2;8.4
47;3;01/01/2025 11:03;C006;3557;visa;4,09E+15;F;1.8;1;3.0
48;3;01/01/2025 11:06;P009;3821;americanexpress;3,12E+15;F;3.8;4;24.0
49;3;01/01/2025 11:07;C008;2534;cash;;T;2.2;2;7.6
50;3;01/01/2025 11:13;C007;994;visa;9,68E+15;T;2.0;1;3.5
